Date,Open,High,Low,Close,Volume,Adj Close
01/05/17,145.100006,147.199997,144.960007,146.580002,33424500,146.580002
28/04/17,144.089996,144.300003,143.270004,143.649994,20763500,143.649994
27/04/17,143.919998,144.160004,143.309998,143.789993,14106100,143.789993
26/04/17,144.470001,144.600006,143.380005,143.679993,19769400,143.679993
25/04/17,143.910004,144.899994,143.869995,144.529999,18290300,144.529999
24/04/17,143.5,143.949997,143.179993,143.639999,17099200,143.639999
21/04/17,142.440002,142.679993,141.850006,142.270004,17245200,142.270004
20/04/17,141.220001,142.919998,141.160004,142.440002,23251100,142.440002
19/04/17,141.880005,142,140.449997,140.679993,17271300,140.679993
18/04/17,141.410004,142.039993,141.110001,141.199997,14660800,141.199997
17/04/17,141.479996,141.880005,140.869995,141.830002,16424000,141.830002
13/04/17,141.910004,142.380005,141.050003,141.050003,17652900,141.050003
12/04/17,141.600006,142.149994,141.009995,141.800003,20238900,141.800003
11/04/17,142.940002,143.350006,140.059998,141.630005,30275300,141.630005
10/04/17,143.600006,143.880005,142.899994,143.169998,18473000,143.169998
07/04/17,143.729996,144.179993,143.270004,143.339996,16621300,143.339996
06/04/17,144.289993,144.520004,143.449997,143.660004,21118000,143.660004
05/04/17,144.220001,145.460007,143.809998,144.020004,27481500,144.020004
04/04/17,143.25,144.889999,143.169998,144.770004,19765700,144.770004
03/04/17,143.710007,144.119995,143.050003,143.699997,19985700,143.699997
31/03/17,143.720001,144.270004,143.009995,143.660004,19661700,143.660004
30/03/17,144.190002,144.5,143.5,143.929993,21207300,143.929993
29/03/17,143.679993,144.490005,143.190002,144.119995,29190000,144.119995
28/03/17,140.910004,144.039993,140.619995,143.800003,33374800,143.800003
27/03/17,139.389999,141.220001,138.619995,140.880005,23575100,140.880005